,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
3329,Ridge alpha 0.0001,Reciprocol,Logarithm,505 nm LED,-1.6839025875154885,0.03505820460498157,-1.0391118124521992,0.040674821475041666
3330,Ridge alpha 0.00001,None,None,505 nm LED,0.7146095686941338,0.02238077318812308,0.5644343923996769,0.024352137131802197
3331,Ridge alpha 0.00001,None,Exponential,505 nm LED,0.11069903198927944,0.04245194610594722,-37060581434058.984,41186.11575977084
3332,Ridge alpha 0.00001,None,Logarithm,505 nm LED,0.6894623941842718,0.024091411561762532,0.5181183686780739,0.026985644740446152
3333,Ridge alpha 0.00001,Exponential,None,505 nm LED,0.7083128271172947,0.02294673395723469,0.553095809126107,0.024913202423641943
3334,Ridge alpha 0.00001,Exponential,Logarithm,505 nm LED,0.6812832747075266,0.02475184461474842,0.5017918091212279,0.02774037195099216
3335,Ridge alpha 0.00001,Logarithm,None,505 nm LED,0.6967551783921846,0.021014940603959878,0.5471652535786751,0.022664024417698478
3336,Ridge alpha 0.00001,Logarithm,Exponential,505 nm LED,0.0579802573920255,0.04203870630961164,-inf,1.5597115075078591e+156
3337,Ridge alpha 0.00001,Logarithm,Logarithm,505 nm LED,0.6711809764606733,0.02252079270620111,0.4926078325094501,0.02575492405212425
3338,Ridge alpha 0.00001,Reciprocol,None,505 nm LED,-2.491661996926918,0.038202247790349454,-1.1423915784258685,0.04102920417907576
3339,Ridge alpha 0.00001,Reciprocol,Exponential,505 nm LED,-0.11217307587146519,0.044398171088520184,-17.39616791700058,0.08284738171274601
3340,Ridge alpha 0.00001,Reciprocol,Logarithm,505 nm LED,-1.6827040550343222,0.035064138267987946,-1.0419082801196924,0.04070296537759893
3341,Lars,None,None,505 nm LED,0.7146095686941338,0.022380773205233424,0.564434385701847,0.024352137235754797
3342,Lars,None,Exponential,505 nm LED,0.10319649825487831,0.04331561466471281,-51918420603.72198,1549.5337544879005
3343,Lars,None,Logarithm,505 nm LED,0.6894623945953593,0.02409147598410639,0.5021562554356692,0.02743874950715731
3344,Lars,Exponential,None,505 nm LED,0.7083128269158714,0.02294673397940331,0.5530958012929,0.024913202548013384
3345,Lars,Exponential,Logarithm,505 nm LED,0.6812831165037132,0.02475191407536465,0.5017764048612786,0.02774053998621836
3346,Lars,Logarithm,None,505 nm LED,0.6967551744996208,0.021014940903102377,0.5471652465551444,0.022664024509442757
3347,Lars,Logarithm,Logarithm,505 nm LED,0.6711760384061061,0.02252089268893374,0.49258046908508035,0.025755753766267164
3348,Lars,Reciprocol,None,505 nm LED,-2.491661769372701,0.03820224793876597,-1.1423915936430042,0.0410292045033541
3349,Lars,Reciprocol,Exponential,505 nm LED,-0.1627241942514226,0.04626414732613709,-2.8120905940272407,0.06736297804768729
3350,Lars,Reciprocol,Logarithm,505 nm LED,-1.6825711416576858,0.03506480022878617,-1.0422209522814385,0.0407061041394874
3351,SVR,None,None,505 nm LED,-0.07068640169760232,0.0500194790589406,-0.30772879767327627,0.05091853135061044
3352,SVR,None,Exponential,505 nm LED,-0.06935722718761239,0.04999893655666666,-0.30788729099487044,0.05092050869444444
3353,SVR,None,Logarithm,505 nm LED,-0.002856785534267825,0.04813571632040317,-0.24840404772480795,0.0497543956036692
3354,SVR,Exponential,None,505 nm LED,-0.0019922095542159735,0.048879324806882625,-0.3341248221393217,0.05141250762384375
3355,SVR,Exponential,Exponential,505 nm LED,-0.002441987839830295,0.04888826030876256,-0.334929126867164,0.0514202891267038
3356,SVR,Exponential,Logarithm,505 nm LED,0.225974781241439,0.042362945658424,-0.07469107063103597,0.04535971677088225
3357,SVR,Logarithm,None,505 nm LED,0.9479770642619053,0.011372010208835702,-0.22719695673854673,0.04816204844437151
3358,SVR,Logarithm,Exponential,505 nm LED,0.9479867778211085,0.011372455281385878,-0.26144728360455843,0.049265734734734515
3359,SVR,Logarithm,Logarithm,505 nm LED,0.5837583193167732,0.028434718190295413,0.4393599996781794,0.031165680497207592
3360,SVR,Reciprocol,None,505 nm LED,0.36539410827178387,0.034743974380842244,-0.20755171981368611,0.048481087498804976
3361,SVR,Reciprocol,Exponential,505 nm LED,0.36019365715581453,0.03508453902138066,-0.2197308049595874,0.04899246375174579
3362,SVR,Reciprocol,Logarithm,505 nm LED,0.1646158706245321,0.043036159410063515,-0.06670697203793949,0.04571068613525834
3363,LinearSVR,None,None,505 nm LED,0.5391350714516399,0.030317643966001496,0.46326678194082993,0.027324422879080112
3364,LinearSVR,None,Exponential,505 nm LED,-4.906478653874645,0.12333290688333334,-5.811439164993007,0.12333290688333332
3365,LinearSVR,None,Logarithm,505 nm LED,0.6807832612228017,0.023951709570707067,0.47614907427977826,0.030038175402341293
3366,LinearSVR,Exponential,None,505 nm LED,-0.5127172988814328,0.053093455663208736,-1.706482319340422,0.06846092066001244
3367,LinearSVR,Exponential,Logarithm,505 nm LED,0.6216372708508138,0.025615910011028087,0.38541640611541716,0.031686649058904934
3368,LinearSVR,Logarithm,None,505 nm LED,0.0625426516573887,0.042090805856517935,-3.112090508536904,0.0705238027086796
3369,LinearSVR,Logarithm,Exponential,505 nm LED,-247.90277510898014,0.8766670931166666,-295.4758905998834,0.8766670931166667
3370,LinearSVR,Logarithm,Logarithm,505 nm LED,0.6347608676477738,0.02523128554146589,0.49554568734487453,0.02810792682168476
3371,LinearSVR,Reciprocol,None,505 nm LED,-56.69455629329938,0.07973897102497816,-2.718088440466316,0.05168677001515741
3372,LinearSVR,Reciprocol,Logarithm,505 nm LED,0.25775450566120617,0.04029783896920972,0.04113718883653419,0.043459854021061624
3373,NuSVR,None,None,505 nm LED,0.9999618451471444,0.00032459674647502927,-0.15341948185044746,0.04753787248872104
3374,NuSVR,None,Exponential,505 nm LED,0.9999568447645584,0.00033877371909736033,-0.19651097311409402,0.048881037580063916
3375,NuSVR,None,Logarithm,505 nm LED,0.7041101248472246,0.02268992348079439,0.5566424299316338,0.025634989421907443
