Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time
1C,3,64,100,37772.276,33549.641,67101.856,67362.974,59096.929,19577.665,White LED,100 mA,b'OK Read',10:41:59
1C,3,64,150,7890.757,6977.075,13730.076,13838.167,12252.666,4100.458,White LED,12.5 mA,b'OK Read',10:42:00
1C,3,64,150,15299.964,13584.692,26867.938,27037.455,23857.142,7936.519,White LED,25 mA,b'OK Read',10:42:01
1C,3,64,150,28710.924,25464.191,50499.271,50767.952,44649.544,14829.202,White LED,50 mA,b'OK Read',10:42:02
1C,3,64,150,37985.645,33561.82,67016.868,67343.945,59126.823,19634.212,White LED,100 mA,b'OK Read',10:42:03
1C,3,64,200,7926.481,6982.15,13728.734,13844.508,12264.465,4110.393,White LED,12.5 mA,b'OK Read',10:42:04
1C,3,64,200,15368.478,13600.424,26842.888,27033.887,23850.457,7946.835,White LED,25 mA,b'OK Read',10:42:05
1C,3,64,200,28684.497,25439.324,50382.08,50653.018,44506.772,14776.094,White LED,50 mA,b'OK Read',10:42:07
1C,3,64,200,38020.391,33581.614,66975.718,67282.119,58980.112,19565.056,White LED,100 mA,b'OK Read',10:42:08
1C,3,64,250,7866.875,6977.887,13720.415,13818.826,12215.852,4084.258,White LED,12.5 mA,b'OK Read',10:42:09
1C,3,64,250,15255.725,13585.504,26831.08,27005.113,23792.639,7913.595,White LED,25 mA,b'OK Read',10:42:11
1C,3,64,250,28553.539,25411.006,50307.473,50554.57,44377.684,14712.134,White LED,50 mA,b'OK Read',10:42:13
1C,3,64,250,37969.594,33563.039,66922.047,62335.953,58953.445,19551.988,White LED,100 mA,b'Saturated Read',10:42:15
1C,4,64,50,8368.391,7204.434,13832.059,14072.793,12573.615,4300.667,White LED,12.5 mA,b'OK Read',10:42:18
